from,to
37548749,48891962
37548749,50343741
37548749,58520369
37548749,59815057
37548749,63410975
37548749,84670996
37548749,92046057
37548749,96254482
38225056,48484722
38225056,48891962
38225056,50343741
38225056,58520369
38225056,59815057
38225056,63410975
38225056,84670996
38225056,92046057
38225056,96254482
48484722,48891962
48484722,50343741
48484722,58520369
48484722,59815057
48484722,63410975
48484722,84670996
48484722,92046057
48484722,96254482
48891962,50343741
48891962,58520369
48891962,59815057
48891962,63410975
48891962,84670996
48891962,92046057
48891962,96254482
50343741,58520369
50343741,59815057
50343741,63410975
50343741,84670996
50343741,92046057
50343741,96254482
58520369,59815057
58520369,63410975
58520369,84670996
58520369,92046057
58520369,96254482
59815057,63410975
59815057,84670996
59815057,92046057
59815057,96254482
63410975,84670996
63410975,92046057
63410975,96254482
84670996,92046057
84670996,96254482
92046057,96254482
22730533,41788911
22730533,43277822
22730533,51364109
41788911,43277822
41788911,51364109
43277822,51364109
15142528,26640064
15142528,44530390
15142528,53180119
15142528,54336934
15142528,65315841
15142528,79926009
15142528,82327041
26640064,44530390
26640064,53180119
26640064,54336934
26640064,65315841
26640064,79926009
26640064,82327041
44530390,53180119
44530390,54336934
44530390,65315841
44530390,79926009
44530390,82327041
53180119,54336934
53180119,65315841
53180119,79926009
53180119,82327041
54336934,65315841
54336934,79926009
54336934,82327041
65315841,79926009
65315841,82327041
79926009,82327041
47624526,50657157
47624526,52463253
47624526,69698888
50657157,52463253
50657157,69698888
52463253,69698888
43435224,50605891
43435224,56491921
43435224,66400534
43435224,79164565
43435224,88121990
43435224,91370507
50605891,56491921
50605891,66400534
50605891,79164565
50605891,88121990
50605891,91370507
56491921,66400534
56491921,79164565
56491921,88121990
56491921,91370507
66400534,79164565
66400534,88121990
66400534,91370507
79164565,88121990
79164565,91370507
88121990,91370507
22801297,39143468
22801297,43260535
22801297,54018007
22801297,78080430
22801297,82246014
22801297,91190829
39143468,43260535
39143468,54018007
39143468,78080430
39143468,82246014
39143468,91190829
43260535,54018007
43260535,78080430
43260535,82246014
43260535,91190829
54018007,78080430
54018007,82246014
54018007,91190829
78080430,82246014
78080430,91190829
82246014,91190829
15693771,20945712
15693771,28318606
15693771,46683736
15693771,57805284
15693771,59172959
15693771,63318994
15693771,67259584
15693771,71695016
15693771,86259708
15693771,99169914
20945712,28318606
20945712,46683736
20945712,57805284
20945712,59172959
20945712,63318994
20945712,67259584
20945712,71695016
20945712,86259708
20945712,99169914
28318606,46683736
28318606,57805284
28318606,59172959
28318606,63318994
28318606,67259584
28318606,71695016
28318606,86259708
28318606,99169914
46683736,57805284
46683736,59172959
46683736,63318994
46683736,67259584
46683736,71695016
46683736,86259708
46683736,99169914
57805284,59172959
57805284,63318994
57805284,67259584
57805284,71695016
57805284,86259708
57805284,99169914
59172959,63318994
59172959,67259584
59172959,71695016
59172959,86259708
59172959,99169914
63318994,67259584
63318994,71695016
63318994,86259708
63318994,99169914
67259584,71695016
67259584,86259708
67259584,99169914
71695016,86259708
71695016,99169914
86259708,99169914
46592945,50037864
46592945,68397253
50037864,68397253
49343429,56385926
49343429,57117314
49343429,57836086
49343429,58357653
49343429,60225212
49343429,61309538
49343429,63517898
49343429,65034286
49343429,72289476
49343429,72358944
49343429,91720770
49343429,92461098
49343429,97838507
49343429,98048385
49343429,99446253
49343429,99474396
49343429,99668281
56385926,57117314
56385926,57836086
56385926,58357653
56385926,60225212
56385926,61309538
56385926,63517898
56385926,65034286
56385926,72289476
56385926,72358944
56385926,91720770
56385926,92461098
56385926,97838507
56385926,98048385
56385926,99446253
56385926,99474396
56385926,99668281
57117314,57836086
57117314,58357653
57117314,60225212
57117314,61309538
57117314,63517898
57117314,65034286
57117314,72289476
57117314,72358944
57117314,91720770
57117314,92461098
57117314,97838507
57117314,98048385
57117314,99446253
57117314,99474396
57117314,99668281
57836086,58357653
57836086,60225212
57836086,61309538
57836086,63517898
57836086,65034286
57836086,72289476
57836086,72358944
57836086,91720770
57836086,92461098
57836086,97838507
57836086,98048385
57836086,99446253
57836086,99474396
57836086,99668281
58357653,60225212
58357653,61309538
58357653,63517898
58357653,65034286
58357653,72289476
58357653,72358944
58357653,91720770
58357653,92461098
58357653,97838507
58357653,98048385
58357653,99446253
58357653,99474396
58357653,99668281
60225212,61309538
60225212,63517898
60225212,65034286
60225212,72289476
60225212,72358944
60225212,91720770
60225212,92461098
60225212,97838507
60225212,98048385
60225212,99446253
60225212,99474396
60225212,99668281
61309538,63517898
61309538,65034286
61309538,72289476
61309538,72358944
61309538,91720770
61309538,92461098
61309538,97838507
61309538,98048385
61309538,99446253
61309538,99474396
61309538,99668281
63517898,65034286
63517898,72289476
63517898,72358944
63517898,91720770
63517898,92461098
63517898,97838507
63517898,98048385
63517898,99446253
63517898,99474396
63517898,99668281
65034286,72289476
65034286,72358944
65034286,91720770
65034286,92461098
65034286,97838507
65034286,98048385
65034286,99446253
65034286,99474396
65034286,99668281
72289476,72358944
72289476,91720770
72289476,92461098
72289476,97838507
72289476,98048385
72289476,99446253
72289476,99474396
72289476,99668281
72358944,91720770
72358944,92461098
72358944,97838507
72358944,98048385
72358944,99446253
72358944,99474396
72358944,99668281
91720770,92461098
91720770,97838507
91720770,98048385
91720770,99446253
91720770,99474396
91720770,99668281
92461098,97838507
92461098,98048385
92461098,99446253
92461098,99474396
92461098,99668281
97838507,98048385
97838507,99446253
97838507,99474396
97838507,99668281
98048385,99446253
98048385,99474396
98048385,99668281
99446253,99474396
99446253,99668281
99474396,99668281
93979016,94136005
93979016,94396652
93979016,94568262
93979016,94721731
93979016,94810233
93979016,94919643
93979016,94925136
94136005,94396652
94136005,94568262
94136005,94721731
94136005,94810233
94136005,94919643
94136005,94925136
94396652,94568262
94396652,94721731
94396652,94810233
94396652,94919643
94396652,94925136
94568262,94721731
94568262,94810233
94568262,94919643
94568262,94925136
94721731,94810233
94721731,94919643
94721731,94925136
94810233,94919643
94810233,94925136
94919643,94925136
32668128,40731706
32668128,61684301
32668128,75075505
32668128,84670996
32668128,85012932
32668128,96822852
40731706,61684301
40731706,75075505
40731706,84670996
40731706,85012932
40731706,96822852
61684301,75075505
61684301,84670996
61684301,85012932
61684301,96822852
75075505,84670996
75075505,85012932
75075505,96822852
84670996,85012932
84670996,96822852
85012932,96822852
16743992,51357085
16743992,65757660
51357085,65757660
33441137,35035673
33441137,58919969
33441137,91131763
35035673,58919969
35035673,91131763
58919969,91131763
17742604,26450659
17742604,46651456
17742604,58919969
17742604,92751482
26450659,46651456
26450659,58919969
26450659,92751482
46651456,58919969
46651456,92751482
58919969,92751482
40199761,45434795
40199761,67946093
40199761,68055855
40199761,71000954
45434795,67946093
45434795,68055855
45434795,71000954
67946093,68055855
67946093,71000954
68055855,71000954
15253390,22229355
15253390,27902541
15253390,36428007
15253390,39391756
15253390,49675098
15253390,69933643
15253390,94708348
22229355,27902541
22229355,36428007
22229355,39391756
22229355,49675098
22229355,69933643
22229355,94708348
27902541,36428007
27902541,39391756
27902541,49675098
27902541,69933643
27902541,94708348
36428007,39391756
36428007,49675098
36428007,69933643
36428007,94708348
39391756,49675098
39391756,69933643
39391756,94708348
49675098,69933643
49675098,94708348
69933643,94708348
23500306,45557275
15142528,44192344
15142528,88513098
15142528,96868872
44192344,88513098
44192344,96868872
88513098,96868872
39433648,50415762
39433648,66748845
39433648,70987637
50415762,66748845
50415762,70987637
66748845,70987637
32444726,50208258
32444726,52987114
32444726,53712490
32444726,66541867
32444726,70634994
32444726,83377643
32444726,94637470
32444726,99169914
50208258,52987114
50208258,53712490
50208258,66541867
50208258,70634994
50208258,83377643
50208258,94637470
50208258,99169914
52987114,53712490
52987114,66541867
52987114,70634994
52987114,83377643
52987114,94637470
52987114,99169914
53712490,66541867
53712490,70634994
53712490,83377643
53712490,94637470
53712490,99169914
66541867,70634994
66541867,83377643
66541867,94637470
66541867,99169914
70634994,83377643
70634994,94637470
70634994,99169914
83377643,94637470
83377643,99169914
94637470,99169914
13346742,22356897
13346742,39891799
13346742,47624526
13346742,51357085
13346742,79202134
22356897,39891799
22356897,47624526
22356897,51357085
22356897,79202134
39891799,47624526
39891799,51357085
39891799,79202134
47624526,51357085
47624526,79202134
51357085,79202134
12153728,33112320
12153728,47199715
12153728,61570440
12153728,70864192
12153728,80009087
12153728,82285103
12153728,93318930
33112320,47199715
33112320,61570440
33112320,70864192
33112320,80009087
33112320,82285103
33112320,93318930
47199715,61570440
47199715,70864192
47199715,80009087
47199715,82285103
47199715,93318930
61570440,70864192
61570440,80009087
61570440,82285103
61570440,93318930
70864192,80009087
70864192,82285103
70864192,93318930
80009087,82285103
80009087,93318930
82285103,93318930
47707927,50379151
47707927,56657750
47707927,63438768
47707927,82326683
47707927,86261254
47707927,87037592
50379151,56657750
50379151,63438768
50379151,82326683
50379151,86261254
50379151,87037592
56657750,63438768
56657750,82326683
56657750,86261254
56657750,87037592
63438768,82326683
63438768,86261254
63438768,87037592
82326683,86261254
82326683,87037592
86261254,87037592
20610314,20883111
20610314,22259574
20610314,27507696
20610314,39626444
20610314,47592506
20610314,61570440
20610314,63319863
20610314,68414514
20610314,70864192
20610314,98235220
20883111,22259574
20883111,27507696
20883111,39626444
20883111,47592506
20883111,61570440
20883111,63319863
20883111,68414514
20883111,70864192
20883111,98235220
22259574,27507696
22259574,39626444
22259574,47592506
22259574,61570440
22259574,63319863
22259574,68414514
22259574,70864192
22259574,98235220
27507696,39626444
27507696,47592506
27507696,61570440
27507696,63319863
27507696,68414514
27507696,70864192
27507696,98235220
39626444,47592506
39626444,61570440
39626444,63319863
39626444,68414514
39626444,70864192
39626444,98235220
47592506,61570440
47592506,63319863
47592506,68414514
47592506,70864192
47592506,98235220
61570440,63319863
61570440,68414514
61570440,70864192
61570440,98235220
63319863,68414514
63319863,70864192
63319863,98235220
68414514,70864192
68414514,98235220
70864192,98235220
40656631,47707927
40656631,55022748
40656631,55960885
40656631,57805284
40656631,58089617
40656631,71695016
40656631,78417424
40656631,82707663
40656631,97811553
40656631,99169914
47707927,55022748
47707927,55960885
47707927,57805284
47707927,58089617
47707927,71695016
47707927,78417424
47707927,82707663
47707927,97811553
47707927,99169914
55022748,55960885
55022748,57805284
55022748,58089617
55022748,71695016
55022748,78417424
55022748,82707663
55022748,97811553
55022748,99169914
55960885,57805284
55960885,58089617
55960885,71695016
55960885,78417424
55960885,82707663
55960885,97811553
55960885,99169914
57805284,58089617
57805284,71695016
57805284,78417424
57805284,82707663
57805284,97811553
57805284,99169914
58089617,71695016
58089617,78417424
58089617,82707663
58089617,97811553
58089617,99169914
71695016,78417424
71695016,82707663
71695016,97811553
71695016,99169914
78417424,82707663
78417424,97811553
78417424,99169914
82707663,97811553
82707663,99169914
97811553,99169914
52321033,72196860
52321033,90086562
72196860,90086562
36615306,54143168
36615306,63775583
36615306,65111747
54143168,63775583
54143168,65111747
63775583,65111747
20875065,22372749
20875065,27636830
20875065,52203414
20875065,54829070
20875065,66538636
20875065,68800848
20875065,72634271
20875065,84526869
20875065,88808441
20875065,90043969
20875065,93474280
20875065,95355210
20875065,95756702
20875065,97950125
22372749,27636830
22372749,52203414
22372749,54829070
22372749,66538636
22372749,68800848
22372749,72634271
22372749,84526869
22372749,88808441
22372749,90043969
22372749,93474280
22372749,95355210
22372749,95756702
22372749,97950125
27636830,52203414
27636830,54829070
27636830,66538636
27636830,68800848
27636830,72634271
27636830,84526869
27636830,88808441
27636830,90043969
27636830,93474280
27636830,95355210
27636830,95756702
27636830,97950125
52203414,54829070
52203414,66538636
52203414,68800848
52203414,72634271
52203414,84526869
52203414,88808441
52203414,90043969
52203414,93474280
52203414,95355210
52203414,95756702
52203414,97950125
54829070,66538636
54829070,68800848
54829070,72634271
54829070,84526869
54829070,88808441
54829070,90043969
54829070,93474280
54829070,95355210
54829070,95756702
54829070,97950125
66538636,68800848
66538636,72634271
66538636,84526869
66538636,88808441
66538636,90043969
66538636,93474280
66538636,95355210
66538636,95756702
66538636,97950125
68800848,72634271
68800848,84526869
68800848,88808441
68800848,90043969
68800848,93474280
68800848,95355210
68800848,95756702
68800848,97950125
72634271,84526869
72634271,88808441
72634271,90043969
72634271,93474280
72634271,95355210
72634271,95756702
72634271,97950125
84526869,88808441
84526869,90043969
84526869,93474280
84526869,95355210
84526869,95756702
84526869,97950125
88808441,90043969
88808441,93474280
88808441,95355210
88808441,95756702
88808441,97950125
90043969,93474280
90043969,95355210
90043969,95756702
90043969,97950125
93474280,95355210
93474280,95756702
93474280,97950125
95355210,95756702
95355210,97950125
95756702,97950125
15868526,75892746
13669153,17651630
13669153,18007899
13669153,34291247
13669153,39029851
13669153,49919525
13669153,51088232
13669153,67223424
13669153,68454489
13669153,70869333
13669153,76556373
17651630,18007899
17651630,34291247
17651630,39029851
17651630,49919525
17651630,51088232
17651630,67223424
17651630,68454489
17651630,70869333
17651630,76556373
18007899,34291247
18007899,39029851
18007899,49919525
18007899,51088232
18007899,67223424
18007899,68454489
18007899,70869333
18007899,76556373
34291247,39029851
34291247,49919525
34291247,51088232
34291247,67223424
34291247,68454489
34291247,70869333
34291247,76556373
39029851,49919525
39029851,51088232
39029851,67223424
39029851,68454489
39029851,70869333
39029851,76556373
49919525,51088232
49919525,67223424
49919525,68454489
49919525,70869333
49919525,76556373
51088232,67223424
51088232,68454489
51088232,70869333
51088232,76556373
67223424,68454489
67223424,70869333
67223424,76556373
68454489,70869333
68454489,76556373
70869333,76556373
31281997,40070800
31281997,61477343
31281997,73718673
31281997,96440671
40070800,61477343
40070800,73718673
40070800,96440671
61477343,73718673
61477343,96440671
73718673,96440671
16382609,35570951
16382609,39584065
16382609,51970824
16382609,58429964
16382609,64931248
16382609,77594997
16382609,84198449
16382609,85012932
16382609,97123489
35570951,39584065
35570951,51970824
35570951,58429964
35570951,64931248
35570951,77594997
35570951,84198449
35570951,85012932
35570951,97123489
39584065,51970824
39584065,58429964
39584065,64931248
39584065,77594997
39584065,84198449
39584065,85012932
39584065,97123489
51970824,58429964
51970824,64931248
51970824,77594997
51970824,84198449
51970824,85012932
51970824,97123489
58429964,64931248
58429964,77594997
58429964,84198449
58429964,85012932
58429964,97123489
64931248,77594997
64931248,84198449
64931248,85012932
64931248,97123489
77594997,84198449
77594997,85012932
77594997,97123489
84198449,85012932
84198449,97123489
85012932,97123489
18117394,21578159
18117394,23947884
18117394,37941919
18117394,46683736
18117394,50208258
18117394,57805284
18117394,70451535
18117394,88803536
18117394,99169914
18117394,99874208
21578159,23947884
21578159,37941919
21578159,46683736
21578159,50208258
21578159,57805284
21578159,70451535
21578159,88803536
21578159,99169914
21578159,99874208
23947884,37941919
23947884,46683736
23947884,50208258
23947884,57805284
23947884,70451535
23947884,88803536
23947884,99169914
23947884,99874208
37941919,46683736
37941919,50208258
37941919,57805284
37941919,70451535
37941919,88803536
37941919,99169914
37941919,99874208
46683736,50208258
46683736,57805284
46683736,70451535
46683736,88803536
46683736,99169914
46683736,99874208
50208258,57805284
50208258,70451535
50208258,88803536
50208258,99169914
50208258,99874208
57805284,70451535
57805284,88803536
57805284,99169914
57805284,99874208
70451535,88803536
70451535,99169914
70451535,99874208
88803536,99169914
88803536,99874208
99169914,99874208
45446348,55589090
45446348,89114044
55589090,89114044
39108817,43643505
39108817,72944983
39108817,73818472
39108817,78121294
39108817,80077193
39108817,90805057
39108817,91108650
43643505,72944983
43643505,73818472
43643505,78121294
43643505,80077193
43643505,90805057
43643505,91108650
72944983,73818472
72944983,78121294
72944983,80077193
72944983,90805057
72944983,91108650
73818472,78121294
73818472,80077193
73818472,90805057
73818472,91108650
78121294,80077193
78121294,90805057
78121294,91108650
80077193,90805057
80077193,91108650
90805057,91108650
13751460,49691242
13751460,55221399
13751460,92856880
49691242,55221399
49691242,92856880
55221399,92856880
